,Date,Open,High,Low,Close,Adj Close,Volume
0,7/5/2021,35284.34375,35284.34375,33213.66016,33746.00391,33746.00391,26721554282
1,7/6/2021,33723.50781,35038.53516,33599.91797,34235.19531,34235.19531,26501259870
2,7/7/2021,34225.67969,34997.66406,33839.28906,33855.32813,33855.32813,24796027477
3,7/8/2021,33889.60547,33907.90625,32133.18359,32877.37109,32877.37109,29910396946
4,7/9/2021,32861.67188,34042.29297,32318.88086,33798.01172,33798.01172,27436021028
5,7/10/2021,33811.24219,34209.07031,33116.01172,33520.51953,33520.51953,22971873468
6,7/11/2021,33509.07813,34584.70313,33346.73828,34240.1875,34240.1875,20108729370
7,7/12/2021,34254.01563,34592.15625,32697.30859,33155.84766,33155.84766,24321499537
8,7/13/2021,33125.46875,33327.10156,32261.41992,32702.02539,32702.02539,19120856669
9,7/14/2021,32723.8457,33061.39844,31639.125,32822.34766,32822.34766,21376531210
10,7/15/2021,32827.875,33159.64063,31175.70898,31780.73047,31780.73047,21300524237
11,7/16/2021,31841.55078,32218.40625,31100.67383,31421.53906,31421.53906,23699476918
12,7/17/2021,31397.30859,31935.94531,31223.99023,31533.06836,31533.06836,18895018942
13,7/18/2021,31533.88477,32398.99609,31215.49219,31796.81055,31796.81055,18787986667
14,7/19/2021,31800.01172,31885.85938,30563.73438,30817.83203,30817.83203,20434789545
15,7/20/2021,30838.28516,31006.1875,29360.95508,29807.34766,29807.34766,23148267245
16,7/21/2021,29796.28516,32752.32617,29526.18359,32110.69336,32110.69336,28203024559
17,7/22/2021,32138.87305,32576.40039,31745.29883,32313.10547,32313.10547,19555230518
18,7/23/2021,32305.95898,33581.55078,32057.89258,33581.55078,33581.55078,22552046192
19,7/24/2021,33593.73047,34490.39063,33424.85938,34292.44531,34292.44531,21664706865
20,7/25/2021,34290.29297,35364.92578,33881.83594,35350.1875,35350.1875,20856685287
21,7/26/2021,35384.03125,40499.67578,35287.3125,37337.53516,37337.53516,51022126212
22,7/27/2021,37276.03516,39406.94141,36441.72656,39406.94141,39406.94141,35097370560
23,7/28/2021,39503.1875,40816.07031,38862.4375,39995.90625,39995.90625,38702404695
24,7/29/2021,39995.45313,40593.07031,39352.05859,40008.42188,40008.42188,27167146027
25,7/30/2021,40027.48438,42235.54688,38397.35547,42235.54688,42235.54688,33072782960
26,7/31/2021,42196.30469,42231.44922,41110.83203,41626.19531,41626.19531,25802845343
27,8/1/2021,41460.84375,42541.67969,39540.94141,39974.89453,39974.89453,26688438115
28,8/2/2021,39907.26172,40419.17969,38746.34766,39201.94531,39201.94531,25595265436
29,8/3/2021,39178.40234,39750.03125,37782.05078,38152.98047,38152.98047,26189830450
30,8/4/2021,38213.33203,39952.29688,37589.16406,39747.50391,39747.50391,25372562724
31,8/5/2021,39744.51563,41341.93359,37458.00391,40869.55469,40869.55469,35185031017
32,8/6/2021,40865.86719,43271.66016,39932.17969,42816.5,42816.5,38226483046
33,8/7/2021,42832.79688,44689.85938,42618.56641,44555.80078,44555.80078,40030862141
34,8/8/2021,44574.4375,45282.35156,43331.91016,43798.11719,43798.11719,36302664750
35,8/9/2021,43791.92578,46456.83203,42848.6875,46365.40234,46365.40234,38734079049
36,8/10/2021,46280.84766,46637.98828,44705.55469,45585.03125,45585.03125,33546019517
37,8/11/2021,45599.70313,46735.63281,45351.71094,45593.63672,45593.63672,34319709073
38,8/12/2021,45576.87891,46228.91016,43861.44531,44428.28906,44428.28906,33723620826
39,8/13/2021,44439.69141,47831.97656,44282.41797,47793.32031,47793.32031,31744259539
40,8/14/2021,47810.6875,48098.68359,46177.63281,47096.94531,47096.94531,31211354442
41,8/15/2021,47096.66797,47357.10547,45579.58984,47047.00391,47047.00391,30988958446
42,8/16/2021,47019.96094,47998.09766,45700.32031,46004.48438,46004.48438,32776876610
43,8/17/2021,45936.45703,47139.57031,44512.41797,44695.35938,44695.35938,33451362600
44,8/18/2021,44686.75,45952.0625,44364.02734,44801.1875,44801.1875,32194123075
45,8/19/2021,44741.88281,46970.76172,43998.31641,46717.57813,46717.57813,37204312299
46,8/20/2021,46723.12109,49342.15234,46650.70703,49339.17578,49339.17578,34706867452
47,8/21/2021,49327.07422,49717.01953,48312.19922,48905.49219,48905.49219,40585205312
48,8/22/2021,48869.10547,49471.60938,48199.94141,49321.65234,49321.65234,25370975378
49,8/23/2021,49291.67578,50482.07813,49074.60547,49546.14844,49546.14844,34305053719
50,8/24/2021,49562.34766,49878.76953,47687.11719,47706.11719,47706.11719,35361168834
51,8/25/2021,47727.25781,49202.87891,47163.61328,48960.78906,48960.78906,32646349931
52,8/26/2021,49002.64063,49347.58203,46405.78125,46942.21875,46942.21875,32666549568
53,8/27/2021,46894.55469,49112.78516,46394.28125,49058.66797,49058.66797,34511076995
54,8/28/2021,49072.58594,49283.50391,48499.23828,48902.40234,48902.40234,28568103401
55,8/29/2021,48911.25,49644.11328,47925.85547,48829.83203,48829.83203,25889650240
56,8/30/2021,48834.85156,48925.60547,46950.27344,47054.98438,47054.98438,31847007016
57,8/31/2021,47024.33984,48189.55078,46750.09375,47166.6875,47166.6875,34730363427
58,9/1/2021,47099.77344,49111.08984,46562.4375,48847.02734,48847.02734,39139399125
59,9/2/2021,48807.84766,50343.42188,48652.32031,49327.72266,49327.72266,39508070319
60,9/3/2021,49288.25,50982.27344,48386.08594,50025.375,50025.375,43206179619
61,9/4/2021,50009.32422,50545.58203,49548.78125,49944.625,49944.625,37471327794
62,9/5/2021,49937.85938,51868.67969,49538.59766,51753.41016,51753.41016,30322676319
63,9/6/2021,51769.00391,52700.94141,51053.67969,52633.53516,52633.53516,38884105426
64,9/7/2021,52660.48047,52853.76563,43285.20703,46811.12891,46811.12891,65210059683
65,9/8/2021,46827.76172,47334.05469,44561.39453,46091.39063,46091.39063,49007762488
66,9/9/2021,45774.74219,47261.94922,45669.73828,46391.42188,46391.42188,38672657013
67,9/10/2021,46396.66406,47031.74219,44344.48438,44883.91016,44883.91016,39154666597
68,9/11/2021,44869.83984,45969.29297,44818.26563,45201.45703,45201.45703,34499835245
69,9/12/2021,45206.62891,46364.87891,44790.46094,46063.26953,46063.26953,27881980161
70,9/13/2021,46057.21484,46598.67969,43591.32031,44963.07422,44963.07422,40969943253
71,9/14/2021,44960.05078,47218.125,44752.33203,47092.49219,47092.49219,38652152880
72,9/15/2021,47098,48450.46875,46773.32813,48176.34766,48176.34766,30484496466
73,9/16/2021,48158.90625,48486.82813,47079.55859,47783.35938,47783.35938,31764293754
74,9/17/2021,47771.00391,48160.92188,46832.52344,47267.51953,47267.51953,28727713711
75,9/18/2021,47273.52734,48791.78125,47087.28516,48278.36328,48278.36328,28575630451
76,9/19/2021,48268.85547,48328.36719,46919.80469,47260.21875,47260.21875,26967722648
77,9/20/2021,47261.40625,47328.19922,42598.91406,42843.80078,42843.80078,43909845642
78,9/21/2021,43012.23438,43607.60938,39787.60938,40693.67578,40693.67578,48701090088
79,9/22/2021,40677.95313,43978.62109,40625.63281,43574.50781,43574.50781,38139709246
80,9/23/2021,43560.29688,44942.17578,43109.33984,44895.09766,44895.09766,34244064430
81,9/24/2021,44894.30078,45080.49219,40936.55859,42839.75,42839.75,42839345714
82,9/25/2021,42840.89063,42996.25781,41759.92188,42716.59375,42716.59375,31604717236
83,9/26/2021,42721.62891,43919.30078,40848.46094,43208.53906,43208.53906,30661222077
84,9/27/2021,43234.18359,44313.24609,42190.63281,42235.73047,42235.73047,30980029059
85,9/28/2021,42200.89844,42775.14453,40931.66406,41034.54297,41034.54297,30214940550
86,9/29/2021,41064.98438,42545.25781,40829.66797,41564.36328,41564.36328,30602359905
87,9/30/2021,41551.26953,44092.60156,41444.58203,43790.89453,43790.89453,31141681925
